[33m█[0m,[0;1;33m[1mi[0m
牆壁,通道
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,01,01,01,00,01,01,00,00,00,00,00,00,00,00,01,00
00,01,01,01,00,01,01,00,00,00,00,00,00,00,00,01,00
00,01,01,01,00,01,00,00,00,00,00,00,00,00,01,01,00
00,00,01,00,00,01,01,01,00,00,01,01,01,01,01,01,00
00,00,01,01,01,01,00,01,00,00,01,00,00,01,00,00,00
00,00,00,00,00,00,00,01,00,00,01,00,00,01,00,00,00
00,00,00,00,01,01,00,01,00,00,01,01,00,01,00,00,00
00,01,01,01,01,01,01,01,00,00,00,01,00,01,01,00,00
00,01,01,00,01,01,00,00,00,00,00,01,00,00,01,00,00
00,01,00,00,00,00,00,00,00,00,01,01,00,00,01,00,00
00,01,00,00,00,00,00,00,00,00,01,00,00,00,01,00,00
00,01,01,01,00,00,00,01,01,01,01,00,00,00,01,00,00
00,00,00,01,00,00,00,01,00,00,01,00,00,00,01,00,00
00,00,00,01,00,00,01,01,01,01,01,00,00,00,01,00,00
00,00,00,01,01,01,01,00,00,00,01,01,01,01,01,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
