[33m█[0m,╦,╗,╔,║,╠,旅,館,防,武,市,場,道,具,酒,吧,銀,行,郵,局,[1;46mΥ[0m,[1;46m．[0m,[1;36m╭[0m,[1;36m╮[0m,[1;36m╰[0m,[1;36m╯[0m,[1;36m─[0m,[1;36m│[0m,○,．,．,．,．,．,．,．,．,．,　,　,[32m林[0m,　,　,[32m林[0m,[32m林[0m,　,　,．,．,．,─,│,┌,┐,└,┘,　
牆,欄,欄,欄,欄,欄,旅,館,防,武,市,場,道,具,酒,吧,銀,行,郵,局,噴水池,噴水池,水池邊,水池邊,水池邊,水池邊,水池邊,水池邊,水井,梅龍鎮大門,門庭,民宅門口,郵局大門,銀行大門,酒吧入口,商店入口,瞭望塔,警衛室,巷道,黃梅公園,黃梅公園,龍泉廣場,庭院,庭院,後院,小廣場,梅龍鎮,診所入口,倉庫,旅館大門,─,│,┌,┐,└,┘,　
0,0,0,0,0,0,0,0,0,0	,0,0,0,0,0,0,0,0,0,29	,29,0,0,0,0,0,0,0,0,0,	0,0,0,0,0,0,0,0,0,0
0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,51,37,46,46,51,56,51,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0
0,38,52,53,38,52,50,53,38,52,53,38,52,50,53,38,38,54,55,41,41,54,36,55,41,41,38,38,38,38,52,50,50,53,38,52,47,53,38,0
0,38,51,31,38,54,31,55,38,31,51,38,51,56,54,53,41,41,41,41,41,41,41,41,41,52,50,53,38,38,51,56,56,51,38,54,50,55,38,0
0,38,54,55,45,45,45,45,45,54,55,38,51,9,56,35,41,22,26,26,26,26,23,41,52,55,6,51,38,38,48,56,56,51,38,38,38,38,38,0
0,38,38,38,45,45,28,45,45,38,38,38,51,56,56,51,41,27,21,20,20,21,27,41,49,56,56,51,38,38,51,56,56,51,38,52,50,53,38,0
0,38,52,53,45,45,45,45,45,52,53,38,51,8,56,35,41,27,21,20,20,21,27,41,54,53,7,51,38,38,51,56,56,51,38,51,18,51,38,0
0,38,51,31,38,52,31,53,38,31,51,38,51,56,52,55,41,27,21,21,21,21,27,41,41,54,50,55,38,38,51,56,56,51,38,32,56,51,38,0
0,38,54,55,38,54,50,55,38,54,55,38,54,50,55,41,41,24,26,26,26,26,25,41,41,41,41,41,41,41,54,50,50,55,38,51,19,51,38,0
0,38,38,38,38,38,38,38,38,38,38,38,38,38,41,41,41,41,41,41,41,41,41,41,41,41,41,46,46,46,46,46,46,46,46,54,50,55,38,0
0,1,1,1,1,1,1,39,1,2,38,52,50,53,41,41,41,41,41,41,41,41,41,52,34,53,41,41,41,46,46,46,46,46,46,38,38,38,38,0
0,40,40,40,40,39,39,39,39,4,38,51,10,54,53,41,41,52,35,53,41,41,52,55,56,54,53,41,41,3,1,1,1,52,50,50,50,53,38,0
0,40,40,40,40,39,39,39,39,4,38,51,56,56,35,38,52,55,56,54,53,38,51,14,56,15,51,38,38,4,43,43,42,51,56,56,56,51,38,0
0,40,40,40,39,39,39,39,39,4,38,51,11,52,55,38,51,12,56,13,51,38,54,50,50,50,55,38,38,4,42,42,42,51,56,56,56,51,38,0
0,40,40,40,39,39,39,39,39,4,38,54,50,55,38,38,54,50,50,50,55,38,38,38,38,38,38,38,38,42,42,42,42,30,56,56,56,51,38,0
0,39,40,40,40,39,39,39,39,4,38,38,38,38,38,38,38,38,38,38,38,38,52,50,50,50,53,38,38,4,42,42,42,51,56,56,52,55,38,0
0,39,39,40,39,39,39,39,39,5,1,1,1,1,39,1,1,1,1,1,2,38,51,16,17,56,33,38,38,4,43,43,42,51,56,56,51,44,38,0
0,40,39,39,39,40,40,39,39,39,39,39,39,39,39,39,39,39,39,39,4,38,54,50,50,50,55,38,38,5,1,1,1,54,50,50,55,44,38,0
0,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,39,39,4,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
