[0m[33;43m■[37;40m,[33;1m□[0m,[1m室
沙壁,走道,石室
00,00,00,00,00,02,00,00,00,02,00,00,00,02,00,00,00,00,00,00
00,00,00,00,00,01,00,00,00,01,00,00,00,01,00,00,00,00,00,00
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,00,00,01,00,00,00,01,00,00,00,01,00,00,00,01,00,00,01,00
00,00,00,02,00,00,00,02,00,00,00,02,00,00,00,02,00,00,01,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,00,00,00,00,00
00,01,00,02,00,02,00,02,00,02,00,02,00,01,00,01,01,01,01,00
00,01,00,00,00,00,00,00,00,00,00,00,00,01,00,01,00,00,01,00
00,01,01,02,00,00,00,00,00,00,01,02,00,01,00,01,00,00,01,00
00,01,00,00,00,01,01,01,01,00,01,00,00,01,00,01,02,00,01,00
00,01,01,02,00,01,00,00,01,00,01,00,00,01,00,00,00,00,01,00
00,01,00,00,00,01,00,00,01,00,01,01,01,01,00,00,00,00,01,00
00,01,01,02,00,01,00,02,01,00,00,00,00,00,00,00,00,00,01,00
00,01,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
