[m[33;29m■,[1;33;42m岩[m,[1;32;42mｖ[40m,[31;42m＃[37;40m,[m[;29;41m□[m,[m[;32;45m十[m
石牆,岩石,草地,血跡,骨龍遺洞,骨龍妖霧
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,04,04,04,04,04,04,04,00,00,00,00,00,04,04,04,04,04,04,04,05,05,04,04,00
00,04,05,05,05,05,04,04,04,04,04,04,04,04,04,04,04,04,04,05,05,05,05,04,00
00,04,05,05,05,05,04,04,04,00,00,00,04,04,04,04,04,04,05,05,05,05,05,05,00
00,04,05,05,05,05,04,04,00,03,03,00,00,04,04,04,04,04,05,05,05,05,05,05,00
00,04,04,04,04,04,04,00,02,03,02,02,00,04,04,04,04,04,04,05,05,05,05,04,00
00,00,00,04,00,00,00,03,02,03,02,03,00,04,04,04,04,04,04,04,05,05,04,04,00
02,02,02,03,03,02,02,02,03,02,03,02,00,00,00,00,00,00,00,00,00,00,00,00,00
02,03,02,02,03,02,03,03,03,02,03,02,03,02,01,01,02,02,02,03,02,01,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,03,02,03,02,03,02,03,03,02,03,01,01,02,02,02,02,03,01,01,03,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,02,02,02,02,02,03,01,03,01,03,01,01,02,02,02,02,01,01,01,02,02,02
02,02,02,01,02,02,02,02,02,02,02,03,02,02,02,02,02,03,03,01,01,02,03,03,02
02,03,03,02,01,03,03,03,03,02,02,02,02,02,02,02,02,03,02,02,02,02,02,02,02
02,03,02,03,02,01,03,02,02,02,03,02,02,02,02,02,02,03,02,03,02,02,02,03,02
02,02,02,02,02,02,03,02,03,02,02,02,02,02,02,02,02,02,02,01,02,01,01,02,02
02,02,02,02,03,02,02,02,02,01,02,01,02,01,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,01,02,02,02,02,02,02,02,03,02,02,03,02,02,02,03,02,02,02,03,02,02
02,02,02,01,01,02,02,03,02,02,02,03,03,02,02,02,02,02,01,02,01,01,01,02,02
02,02,02,01,01,01,03,03,02,01,01,02,01,01,02,02,02,02,02,02,02,03,02,03,02
03,02,02,02,01,01,03,02,03,02,02,02,02,02,02,02,02,03,02,02,02,02,03,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
