tran troop from 咸阳 to 长安城, rea=399, anding=398,value from 16931 to 16931tran troop from 长安城 to 武关, rea=389, anding=298,value from 16900 to 16900tran troop from 武关 to 宛城, rea=379, anding=293,value from 16900 to 16900
tran troop from 襄阳 to 澶溪, rea=371, anding=215,value from 14000 to 14000
tran gold from 谯城 to 定陶, rea=241, anding=241,value from 100000 to 100000
tran troop from 澶溪 to 上庸, rea=361, anding=215,value from 14000 to 14000
tran stuff from 谯城 to 定陶, rea=241, anding=241,value from 500000 to 470000
tran gold from 谯城 to 定陶, rea=241, anding=241,value from 100000 to 94000
tran stuff from 濮阳 to 白马, rea=106, anding=106,value from 10000 to 8900
tran troop from 定陶 to 濮阳, rea=399, anding=114,value from 11892 to 0
tran troop from 濮阳 to 白马, rea=400, anding=160,value from 6000 to 6000
tran troop from 白马 to 邺城, rea=390, anding=280,value from 6000 to 6000
tran troop from 濮阳 to 定陶, rea=400, anding=160,value from 7842 to 7842
tran troop from 定陶 to 陈留, rea=390, anding=279,value from 7842 to 7842
tran troop from 北海 to 下邳, rea=379, anding=209,value from 7000 to 7000
tran troop from 北海 to 下邳, rea=379, anding=209,value from 7000 to 7000
tran troop from 北海 to 下邳, rea=379, anding=208,value from 7000 to 7000
tran troop from 下邳 to 寿春, rea=363, anding=326,value from 7000 to 7000
tran troop from 谯城 to 定陶, rea=394, anding=280,value from 7000 to 7000
tran troop from 定陶 to 陈留, rea=384, anding=279,value from 7000 to 7000
tran troop from 汝南 to 谯城, rea=396, anding=388,value from 7000 to 7000
tran troop from 下邳 to 寿春, rea=363, anding=326,value from 7000 to 7000
tran troop from 下邳 to 寿春, rea=363, anding=326,value from 7000 to 7000
tran troop from 寿春 to 汝南, rea=353, anding=386,value from 7000 to 7000
tran troop from 寿春 to 汝南, rea=353, anding=386,value from 7000 to 7000
tran troop from 寿春 to 汝南, rea=353, anding=386,value from 7000 to 7000
tran troop from 汝南 to 谯城, rea=346, anding=388,value from 5000 to 5000
tran stuff from 长沙 to 武陵, rea=208, anding=208,value from 50000 to 46500
tran gold from 赤壁 to 柴桑, rea=216, anding=216,value from 4779 to 4492
tran stuff from 赤壁 to 柴桑, rea=216, anding=216,value from 4803 to 4803
tran gold from 柴桑 to 赤壁, rea=216, anding=216,value from 100 to 95
tran stuff from 谯城 to 汝南, rea=388, anding=388,value from 500000 to 500000
tran gold from 许昌 to 官渡, rea=299, anding=299,value from 5000 to 5000
tran gold from 谯城 to 汝南, rea=388, anding=388,value from 50000 to 50000
tran troop from 桂阳 to 长沙, rea=328, anding=367,value from 8000 to 8000
tran stuff from 上庸 to 新野, rea=232, anding=232,value from 50000 to 47000
tran stuff from 上庸 to 新野, rea=232, anding=232,value from 50000 to 47000
tran stuff from 上庸 to 新野, rea=232, anding=232,value from 50000 to 50000
tran stuff from 上庸 to 新野, rea=232, anding=232,value from 50000 to 50000
tran troop from 宛城 to 博望坡, rea=400, anding=301,value from 3000 to 3000
tran stuff from 上庸 to 新野, rea=236, anding=236,value from 100000 to 100000
tran troop from 新野 to 上庸, rea=362, anding=256,value from 27650 to 27650
tran stuff from 新野 to 上庸, rea=256, anding=256,value from 300000 to 300000
tran gold from 长沙 to 赤壁, rea=233, anding=233,value from 10000 to 9500
tran stuff from 长沙 to 赤壁, rea=233, anding=233,value from 110000 to 103400
tran stuff from 博望坡 to 新野, rea=137, anding=137,value from 30000 to 27300
tran troop from 江夏 to 长坂坡, rea=396, anding=204,value from 3595 to 3595
tran troop from 长坂坡 to 襄阳, rea=386, anding=211,value from 3595 to 3595
tran gold from 博望坡 to 新野, rea=137, anding=137,value from 3000 to 2700
tran stuff from 赤壁 to 华容, rea=142, anding=142,value from 100000 to 91000
tran gold from 赤壁 to 华容, rea=162, anding=162,value from 8000 to 7360
tran troop from 长沙 to 武陵, rea=318, anding=298,value from 2000 to 2000
tran troop from 长沙 to 武陵, rea=318, anding=298,value from 200 to 198
tran gold from 武陵 to 夷陵, rea=141, anding=141,value from 2000 to 1820
tran stuff from 武陵 to 夷陵, rea=141, anding=141,value from 32000 to 29120
tran stuff from 长沙 to 武陵, rea=298, anding=298,value from 100000 to 100000
tran stuff from 武陵 to 夷陵, rea=141, anding=141,value from 100000 to 90000
tran stuff from 上庸 to 新野, rea=212, anding=212,value from 300000 to 300000
tran gold from 上庸 to 新野, rea=212, anding=212,value from 10000 to 9400
tran troop from 宛城 to 博望坡, rea=398, anding=303,value from 3000 to 3000
tran gold from 华容 to 公安, rea=150, anding=150,value from 5500 to 5005
tran stuff from 华容 to 公安, rea=150, anding=150,value from 80000 to 72800
tran troop from 博望坡 to 宛城, rea=388, anding=300,value from 3000 to 3000
tran troop from 许昌 to 官渡, rea=367, anding=287,value from 5000 to 5000
tran stuff from 官渡 to 邺城, rea=124, anding=124,value from 90000 to 81000
tran gold from 许昌 to 官渡, rea=288, anding=288,value from 9000 to 9000
tran troop from 新野 to 上庸, rea=369, anding=258,value from 27395 to 27395
tran gold from 官渡 to 邺城, rea=124, anding=124,value from 10000 to 9000
tran stuff from 新野 to 上庸, rea=258, anding=258,value from 277000 to 263150
tran stuff from 宛城 to 洛阳城, rea=386, anding=386,value from 600000 to 600000
tran stuff from 洛阳城 to 壶关, rea=235, anding=235,value from 200000 to 188000
tran stuff from 洛阳城 to 壶关, rea=266, anding=266,value from 200000 to 200000
tran stuff from 洛阳城 to 壶关, rea=266, anding=266,value from 200000 to 192000
tran stuff from 洛阳城 to 壶关, rea=273, anding=273,value from 200000 to 192000
tran stuff from 壶关 to 邺城, rea=129, anding=129,value from 100000 to 90000
tran stuff from 壶关 to 邺城, rea=139, anding=139,value from 100000 to 91000
tran stuff from 壶关 to 邺城, rea=159, anding=159,value from 100000 to 91000
tran stuff from 壶关 to 邺城, rea=166, anding=166,value from 100000 to 92000
tran stuff from 壶关 to 邺城, rea=167, anding=167,value from 380000 to 345800
tran troop from 壶关 to 邺城, rea=396, anding=167,value from 1737 to 1737
tran gold from 洛阳城 to 虎牢关, rea=248, anding=248,value from 100000 to 95000
tran gold from 虎牢关 to 许昌, rea=248, anding=248,value from 90000 to 85500
tran gold from 许昌 to 官渡, rea=297, anding=297,value from 50000 to 49000
tran troop from 庐江 to 合淝, rea=324, anding=192,value from 3818 to 3818
tran troop from 桂阳 to 长沙, rea=400, anding=376,value from 20000 to 20000
tran troop from 合淝 to 建业, rea=377, anding=225,value from 3812 to 3812
tran stuff from 桂阳 to 长沙, rea=372, anding=372,value from 1000000 to 1000000
tran gold from 桂阳 to 长沙, rea=381, anding=381,value from 50000 to 50000
tran troop from 宛城 to 武关, rea=390, anding=292,value from 16000 to 16000
tran troop from 武关 to 长安城, rea=380, anding=259,value from 16000 to 16000
tran troop from 长安城 to 安定城, rea=339, anding=290,value from 17700 to 17700
tran gold from 定陶 to 濮阳, rea=126, anding=126,value from 100000 to 90000
tran gold from 定陶 to 濮阳, rea=125, anding=125,value from 50000 to 45000
tran stuff from 定陶 to 濮阳, rea=125, anding=125,value from 200000 to 180000
tran stuff from 定陶 to 濮阳, rea=125, anding=125,value from 200000 to 180000
tran stuff from 洛阳城 to 壶关, rea=271, anding=271,value from 500000 to 500000
tran stuff from 壶关 to 晋阳, rea=110, anding=110,value from 300000 to 267000
